,agency_name,agency_type_name,county_name,division_name,latitude,longitude,nibrs,nibrs_start_date,ori,region_desc,region_name,state_abbr,state_name
TX0840200,Dickinson Police Department,City,GALVESTON,West South Central,29.462942,-95.05215,False,,TX0840200,Region III,South,TX,Texas
TX0840400,Galveston Police Department,City,GALVESTON,West South Central,29.29432,-94.828705,False,,TX0840400,Region III,South,TX,Texas
TX0840600,Kemah Police Department,City,GALVESTON,West South Central,29.531988,-95.01457,False,,TX0840600,Region III,South,TX,Texas
TX0842800,Independent School District: Santa Fe,Other,GALVESTON,West South Central,29.228364,-94.895428,False,,TX0842800,Region III,South,TX,Texas
TX0841900,Jamaica Beach Police Department,City,GALVESTON,West South Central,29.228364,-94.895428,False,,TX0841900,Region III,South,TX,Texas
TX0840900,Texas City Police Department,City,GALVESTON,West South Central,29.393375,-94.90877,False,,TX0840900,Region III,South,TX,Texas
TX0843100,Independent School District: Galveston,Other,GALVESTON,West South Central,29.228364,-94.895428,False,,TX0843100,Region III,South,TX,Texas
TX0840000,Galveston County Sheriff's Office,County,GALVESTON,West South Central,29.303543,-94.78816,False,,TX0840000,Region III,South,TX,Texas
TX0842200,Bayou Vista Police Department,City,GALVESTON,West South Central,29.330925,-94.93987,False,,TX0842200,Region III,South,TX,Texas
TX0840500,Hitchcock Police Department,City,GALVESTON,West South Central,29.348587,-95.01899,False,,TX0840500,Region III,South,TX,Texas
TX0840700,La Marque Police Department,City,GALVESTON,West South Central,29.228364,-94.895428,False,,TX0840700,Region III,South,TX,Texas
TX0841000,University of Texas: Medical Branch,University or College,GALVESTON,West South Central,29.228364,-94.895428,False,,TX0841000,Region III,South,TX,Texas
TX0842100,Santa Fe Police Department,City,GALVESTON,West South Central,29.228364,-94.895428,False,,TX0842100,Region III,South,TX,Texas
TX0841200,Texas A&M University: Galveston,University or College,GALVESTON,West South Central,29.228364,-94.895428,False,,TX0841200,Region III,South,TX,Texas
TX0842300,College of the Mainland,University or College,GALVESTON,West South Central,29.228364,-94.895428,False,,TX0842300,Region III,South,TX,Texas
