,0
0,TX0140700
1,TX0611500
2,TX1770300
3,TX2010100
4,TX0270200
5,TX0290200
6,TX0430500
7,TX0430600
8,TX0430800
9,TX0431800
10,TX0490100
11,TX1880100
12,TX0790100
13,TX0430000
14,TX0040100
15,TX0920500
16,TX0370300
17,TX0430100
18,TX0430400
19,TX0840400
20,TX0910200
21,TX2350100
22,TX0153500
23,TX1840100
24,TX1500100
25,TX1520000
26,TX1550000
27,TX0201000
28,TX2460200
29,TX2461700
30,TX1990100
31,TX2430400
32,TX1012700
33,TX0940300
34,TX1010400
35,TX1012300
36,TX2200300
37,TX2200600
38,TX2201200
39,TX2201400
40,TX2060100
41,TX2120400
42,TX1700100
43,TX2202100
44,TX2203300
45,TX2203600
46,TX1160600
47,TX2260100
48,TX1260300
49,TX1260500
50,TX1290000
51,TX1290100
52,TX0610100
53,TX0610200
54,TX0610600
55,TX0611200
56,TX0571300
57,TX0571700
58,TX0572000
59,TX0572100
60,TX0573300
